,Unnamed: 0,img_name,category,beauty_scores,score
5902,5902,2766723206.jpg,urban,"[3, 3, 3, 3, 3, 4]",2
624,624,3099800070.jpg,urban,"[3, 4, 3, 3, 3]",2
3860,3860,8365351368.jpg,nature,"[4, 4, 3, 5, 3, 4, 5, 4, 4, 3]",3
5438,5438,5395674834.jpg,urban,"[2, 3, 3, 3, 3]",2
7750,7750,6404673221.jpg,animals,"[4, 4, 3, 4, 5]",3
168,168,7117723993.jpg,people,"[3, 3, 3, 3, 2]",2
2909,2909,5913631637.jpg,animals,"[3, 3, 3, 4, 4, 3]",2
2085,2085,391560202.jpg,people,"[4, 4, 3, 5, 4, 3, 4, 4, 4, 4]",3
13031,13031,7260890732.jpg,urban,"[4, 3, 3, 3, 3, 3]",2
833,833,7225978210.jpg,people,"[3, 3, 3, 2, 4]",2
9767,9767,7557043606.jpg,animals,"[3, 3, 3, 3, 3]",2
10806,10806,5281070061.jpg,people,"[3, 4, 3, 3, 3]",2
10657,10657,8266859168.jpg,animals,"[5, 3, 4, 4, 5]",3
7258,7258,2887985980.jpg,urban,"[3, 3, 3, 3, 3]",2
8528,8528,329875052.jpg,nature,"[3, 3, 4, 3, 5]",3
12579,12579,5357565372.jpg,animals,"[3, 3, 3, 3, 4]",2
11967,11967,5772337485.jpg,nature,"[3, 3, 3, 3, 3]",2
6029,6029,6074266559.jpg,people,"[3, 3, 3, 4, 3]",2
11599,11599,4071262704.jpg,urban,"[3, 3, 3, 3, 2]",2
8683,8683,2847067166.jpg,animals,"[4, 5, 4, 5, 4]",3
13458,13458,3264584858.jpg,urban,"[3, 3, 4, 3, 3, 4, 3, 4, 3, 3]",2
3707,3707,3053694247.jpg,nature,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
12306,12306,2908597471.jpg,people,"[2, 2, 2, 2, 2]",1
12207,12207,5228314890.jpg,people,"[3, 4, 3, 4, 4]",3
7202,7202,3661816298.jpg,urban,"[3, 3, 3, 3, 3, 4]",2
13235,13235,2177211796.jpg,animals,"[2, 3, 3, 3, 2]",2
8459,8459,8339655192.jpg,nature,"[3, 3, 5, 2, 4]",2
4442,4442,2940520564.jpg,animals,"[4, 3, 3, 3, 3]",2
3206,3206,5515580371.jpg,people,"[4, 4, 3, 3, 3]",2
9757,9757,8424746318.jpg,animals,"[3, 3, 4, 4, 4]",3
4003,4003,7543531708.jpg,urban,"[4, 3, 2, 3, 4]",2
3128,3128,6966827549.jpg,animals,"[4, 3, 4, 3, 4]",3
9592,9592,4339777150.jpg,animals,"[4, 3, 3, 4, 4, 3, 4]",3
10038,10038,5341076354.jpg,people,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 3]",2
8965,8965,7299625976.jpg,animals,"[4, 4, 4, 5, 5, 5]",3
10311,10311,7914360104.jpg,people,"[4, 3, 4, 4, 3]",3
11048,11048,1777763410.jpg,people,"[4, 3, 4, 3, 4, 3, 3, 3, 4, 4]",3
1385,1385,4904683344.jpg,animals,"[4, 4, 3, 4, 4]",3
5549,5549,57712879.jpg,nature,"[3, 3, 3, 3, 3]",2
8441,8441,7741035526.jpg,nature,"[3, 3, 4, 5, 3, 3, 5, 4, 5, 3]",3
3021,3021,5660034145.jpg,urban,"[5, 4, 4, 3, 4]",3
11732,11732,2514577333.jpg,nature,"[3, 3, 3, 3, 5]",2
872,872,8035183448.jpg,people,"[5, 4, 4, 3, 4]",3
11293,11293,6027500667.jpg,animals,"[4, 5, 4, 4, 4]",3
12882,12882,4729065882.jpg,urban,"[3, 3, 3, 3, 3]",2
2596,2596,1965990549.jpg,urban,"[4, 4, 4, 4, 4]",3
4395,4395,6995281807.jpg,urban,"[4, 4, 4, 3, 3]",3
457,457,1399114679.jpg,animals,"[2, 2, 3, 2, 4]",2
3448,3448,497699534.jpg,nature,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 3, 4]",3
3058,3058,3560004475.jpg,urban,"[4, 3, 3, 4, 3]",2
6853,6853,8503610250.jpg,people,"[5, 4, 4, 5, 4]",3
8439,8439,3472846292.jpg,urban,"[4, 4, 3, 5, 4]",3
5404,5404,6024571339.jpg,people,"[4, 5, 5, 5, 4]",4
7824,7824,6973976829.jpg,people,"[3, 3, 3, 3, 4]",2
8470,8470,2925538493.jpg,urban,"[3, 3, 4, 3, 3]",2
6130,6130,824589817.jpg,nature,"[3, 3, 3, 4, 3]",2
6912,6912,6296238230.jpg,people,"[3, 2, 3, 3, 3]",2
5129,5129,6077853639.jpg,animals,"[4, 3, 4, 4, 4]",3
2201,2201,3139958251.jpg,people,"[2, 2, 2, 2, 3]",1
399,399,2423728293.jpg,nature,"[3, 3, 3, 3, 4]",2
11082,11082,5553240325.jpg,urban,"[3, 3, 3, 3, 3]",2
8278,8278,1828227959.jpg,nature,"[3, 3, 3, 3, 3, 3, 3]",2
5970,5970,3018353745.jpg,animals,"[3, 4, 3, 3, 3]",2
2184,2184,6344402327.jpg,urban,"[3, 3, 4, 4, 4, 4]",3
4075,4075,2515242735.jpg,animals,"[3, 3, 3, 4, 4]",2
3859,3859,8366431153.jpg,urban,"[3, 4, 3, 4, 3]",2
2439,2439,5943717196.jpg,people,"[4, 5, 4, 4, 4]",3
11543,11543,2400375882.jpg,people,"[4, 3, 4, 4, 4]",3
1921,1921,3762131955.jpg,urban,"[3, 3, 3, 3, 3]",2
10611,10611,3192019619.jpg,people,"[3, 3, 3, 4, 5]",3
13415,13415,7169974593.jpg,nature,"[3, 3, 3, 3, 3, 4, 4, 3, 4, 4]",2
7919,7919,8538929343.jpg,people,"[4, 4, 4, 4, 4, 3, 4, 4, 5, 4]",3
6778,6778,6209377776.jpg,animals,"[3, 4, 3, 3, 3]",2
4843,4843,8078439640.jpg,animals,"[4, 4, 4, 3, 4, 4]",3
10551,10551,7795787694.jpg,people,"[3, 3, 3, 3, 3]",2
8781,8781,8189668507.jpg,nature,"[3, 3, 3, 3, 3]",2
10000,10000,3977256600.jpg,animals,"[4, 4, 3, 4, 4, 3]",3
13536,13536,6984058300.jpg,urban,"[4, 3, 4, 3, 4]",3
7310,7310,6098266125.jpg,urban,"[2, 3, 3, 3, 3]",2
5327,5327,3604589363.jpg,animals,"[3, 4, 3, 3, 3]",2
1593,1593,510876919.jpg,nature,"[4, 4, 4, 4, 4, 5, 3, 4, 5, 5, 4, 5, 4, 4, 4]",3
811,811,5215566587.jpg,urban,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
1489,1489,2757401399.jpg,animals,"[4, 4, 4, 3, 4]",3
10391,10391,3290066745.jpg,nature,"[4, 3, 3, 3, 3]",2
2357,2357,4530832070.jpg,people,"[4, 4, 4, 4, 4]",3
533,533,6619054603.jpg,people,"[4, 4, 3, 3, 3]",2
11852,11852,6869879692.jpg,nature,"[3, 3, 3, 2, 3]",2
10991,10991,3125955224.jpg,nature,"[3, 3, 3, 3, 3]",2
9275,9275,6149539411.jpg,nature,"[3, 4, 4, 5, 3]",3
2232,2232,6852251462.jpg,people,"[4, 3, 3, 3, 3]",2
5566,5566,6666973511.jpg,urban,"[3, 3, 3, 3, 3]",2
10156,10156,5026919220.jpg,nature,"[3, 3, 4, 3, 3]",2
12179,12179,6048414712.jpg,urban,"[2, 3, 3, 3, 3]",2
9704,9704,5924112806.jpg,urban,"[3, 3, 3, 3, 3]",2
11825,11825,6967256654.jpg,people,"[3, 4, 3, 4, 3]",2
13543,13543,2677699055.jpg,people,"[3, 4, 3, 4, 5]",3
8331,8331,7153601965.jpg,urban,"[3, 3, 3, 3, 3]",2
4536,4536,5537662862.jpg,people,"[4, 4, 4, 5, 4]",3
13291,13291,4087059566.jpg,nature,"[3, 4, 3, 4, 3]",2
10933,10933,2943385606.jpg,animals,"[2, 4, 2, 1, 2]",1
13187,13187,6761867571.jpg,animals,"[3, 3, 3, 3, 4]",2
7510,7510,470347860.jpg,animals,"[5, 3, 3, 3, 3, 3]",2
3045,3045,4102910186.jpg,urban,"[3, 2, 2, 3, 4, 2, 2, 3, 2, 4, 3, 2]",2
7934,7934,6267031291.jpg,urban,"[3, 4, 3, 3, 4, 2]",2
12057,12057,3856696364.jpg,animals,"[4, 2, 3, 4, 2, 3, 3, 3, 4, 3, 4]",2
6030,6030,4071101913.jpg,nature,"[3, 4, 3, 2, 3]",2
1157,1157,8115436265.jpg,nature,"[2, 3, 3, 3, 3]",2
10043,10043,7389356688.jpg,animals,"[4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 3]",3
10871,10871,2602360770.jpg,people,"[3, 3, 3, 3, 3]",2
12342,12342,7167044763.jpg,animals,"[4, 4, 3, 4, 4]",3
10286,10286,6656151353.jpg,urban,"[5, 4, 4, 5, 3]",3
3889,3889,327120283.jpg,urban,"[2, 4, 3, 4, 3]",2
2388,2388,3048514778.jpg,people,"[5, 5, 3, 3, 5, 4, 4, 4, 4, 5]",3
9515,9515,2399936950.jpg,nature,"[3, 4, 3, 3, 3]",2
10421,10421,7700217948.jpg,animals,"[3, 4, 3, 4, 3]",2
6945,6945,233431127.jpg,animals,"[4, 4, 4, 4, 4]",3
6259,6259,2848298083.jpg,people,"[3, 3, 3, 3, 3]",2
9586,9586,2477042929.jpg,animals,"[3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3]",2
3079,3079,3455324276.jpg,urban,"[4, 5, 4, 3, 4]",3
12719,12719,3648019994.jpg,nature,"[4, 3, 3, 3, 3, 3, 3, 3, 4, 3]",2
542,542,8502933557.jpg,animals,"[3, 3, 4, 3, 3]",2
3559,3559,3772053211.jpg,urban,"[3, 3, 3, 3, 2]",2
6647,6647,6792764906.jpg,nature,"[4, 4, 5, 4, 4, 4, 5, 5, 5, 5]",3
5642,5642,4793834045.jpg,nature,"[4, 4, 3, 4, 4, 4, 3, 5, 4, 5]",3
4147,4147,2718082908.jpg,people,"[3, 3, 3, 3, 3]",2
8839,8839,2388013050.jpg,animals,"[3, 3, 3, 3, 3]",2
2927,2927,3650064090.jpg,people,"[4, 2, 3, 3, 3]",2
10110,10110,8391365037.jpg,urban,"[4, 4, 3, 3, 5]",3
8973,8973,6534400335.jpg,animals,"[4, 4, 3, 3, 2]",2
3037,3037,4388028416.jpg,urban,"[3, 4, 4, 4, 3, 3, 3, 3, 2, 3, 4, 3]",2
4553,4553,8908616.jpg,animals,"[3, 3, 3, 3, 3]",2
9148,9148,2131932444.jpg,nature,"[3, 3, 3, 3, 3]",2
4679,4679,8062470050.jpg,nature,"[3, 3, 3, 3, 3, 4, 4, 3, 3, 3]",2
8140,8140,61767806.jpg,people,"[3, 2, 2, 2, 3]",1
1253,1253,5064765469.jpg,animals,"[4, 3, 4, 2, 4]",2
9344,9344,4505018951.jpg,urban,"[2, 3, 3, 3, 4, 4, 2, 4, 3, 2]",2
7283,7283,2664478705.jpg,people,"[4, 4, 4, 4, 4]",3
12618,12618,5341080670.jpg,people,"[3, 3, 4, 3, 3]",2
10594,10594,4888286097.jpg,animals,"[4, 4, 4, 4, 4]",3
10117,10117,2272411022.jpg,nature,"[3, 4, 3, 4, 3]",2
11217,11217,2926788925.jpg,animals,"[3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3]",2
13154,13154,6685716137.jpg,animals,"[3, 4, 4, 4, 4]",3
9938,9938,7873051904.jpg,nature,"[2, 3, 3, 3, 3]",2
10633,10633,5346597535.jpg,nature,"[3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 4, 2]",2
1586,1586,4018998586.jpg,animals,"[4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3]",3
2183,2183,5653656610.jpg,people,"[3, 3, 3, 3, 3]",2
4308,4308,8400191944.jpg,nature,"[3, 3, 3, 3, 3, 3, 3, 4, 3, 3]",2
6485,6485,3188569504.jpg,animals,"[4, 4, 3, 3, 3, 3]",2
1078,1078,3559257456.jpg,animals,"[4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3]",3
10556,10556,4495342992.jpg,nature,"[4, 4, 3, 4, 3]",3
11805,11805,8346547657.jpg,animals,"[4, 4, 4, 4, 4]",3
9551,9551,6357687661.jpg,nature,"[3, 3, 3, 2, 3]",2
12884,12884,2083137217.jpg,animals,"[3, 3, 4, 4, 4]",3
5361,5361,6844554415.jpg,nature,"[4, 3, 3, 3, 4, 3, 5, 3, 4, 4]",3
1483,1483,6862602177.jpg,urban,"[3, 3, 3, 2, 2, 3]",2
7054,7054,3162735194.jpg,nature,"[3, 3, 3, 5, 4]",3
12378,12378,3133956013.jpg,animals,"[2, 2, 2, 3, 2]",1
9373,9373,6577039773.jpg,nature,"[3, 3, 3, 3, 3]",2
4337,4337,120510253.jpg,urban,"[3, 4, 3, 3, 4]",2
4100,4100,8169624572.jpg,nature,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
5125,5125,6174656777.jpg,people,"[3, 3, 3, 3, 4]",2
10879,10879,1546484211.jpg,people,"[2, 4, 3, 2, 4, 2, 3, 2, 3, 2]",2
795,795,7207181988.jpg,urban,"[3, 3, 3, 3, 4, 3]",2
12772,12772,5057896874.jpg,people,"[3, 3, 3, 3, 3]",2
3194,3194,8393059288.jpg,urban,"[3, 3, 3, 4, 3]",2
11992,11992,4512826324.jpg,people,"[4, 4, 4, 3, 3]",3
10726,10726,4659560704.jpg,animals,"[3, 4, 3, 3, 4]",2
9969,9969,484433460.jpg,urban,"[3, 3, 3, 4, 3]",2
8622,8622,6826806848.jpg,nature,"[4, 3, 3, 4, 3, 2, 3, 3, 3, 3]",2
