,img_name,category,beauty_scores,score
41,3461156301.jpg,animals,"[4, 3, 3, 3, 3]",2
42,4882857425.jpg,animals,"[4, 4, 4, 4, 5]",3
43,5231114725.jpg,urban,"[3, 2, 2, 3, 3, 4]",2
44,6939805813.jpg,urban,"[4, 4, 4, 4, 5, 4]",3
45,6802523217.jpg,people,"[5, 3, 4, 4, 4]",3
46,3361201036.jpg,animals,"[3, 3, 3, 3, 3, 3]",2
47,2859819217.jpg,animals,"[4, 4, 4, 5, 5]",3
48,8096636695.jpg,urban,"[4, 4, 5, 3, 4]",3
49,3724341720.jpg,animals,"[2, 2, 3, 2, 2]",1
50,2728446092.jpg,animals,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
51,8511844507.jpg,animals,"[4, 4, 5, 4, 4, 4, 4, 4, 4, 4]",3
52,5331710895.jpg,people,"[2, 4, 4, 4, 4]",3
53,5023164277.jpg,urban,"[3, 3, 3, 3, 3]",2
54,6323773070.jpg,people,"[4, 4, 4, 4, 3]",3
55,2275922818.jpg,urban,"[3, 4, 3, 4, 5, 4]",3
56,4735877722.jpg,urban,"[3, 3, 2, 4, 3]",2
57,180139824.jpg,urban,"[2, 4, 3, 3, 2]",2
58,8222322083.jpg,animals,"[4, 3, 3, 3, 3]",2
59,8025837677.jpg,people,"[5, 4, 4, 4, 3]",3
60,7910650152.jpg,nature,"[3, 3, 3, 3, 3]",2
61,5934413779.jpg,urban,"[5, 4, 3, 4, 5]",3
62,778431470.jpg,urban,"[3, 3, 3, 3, 3]",2
63,693830215.jpg,people,"[5, 4, 5, 4, 4]",3
64,5212721236.jpg,people,"[5, 4, 5, 4, 4]",3
65,7223870022.jpg,nature,"[3, 3, 3, 3, 2]",2
66,7300332358.jpg,nature,"[3, 4, 3, 3, 3]",2
67,2150062942.jpg,nature,"[3, 3, 3, 4, 3]",2
68,4176075327.jpg,nature,"[2, 3, 5, 4, 4, 4, 1, 1, 5, 1]",2
69,8152944404.jpg,people,"[4, 4, 5, 4, 5]",3
70,5856750072.jpg,urban,"[3, 3, 4, 4, 3]",2
71,5176065142.jpg,urban,"[4, 4, 5, 4, 4, 4, 5, 4, 3, 5]",3
72,617394280.jpg,nature,"[3, 3, 4, 3, 4]",2
73,8035951185.jpg,nature,"[3, 3, 4, 4, 4]",3
74,6181157479.jpg,nature,"[4, 3, 3, 3, 2]",2
75,6986967626.jpg,nature,"[5, 3, 4, 3, 4]",3
76,5404312074.jpg,people,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
77,7173535357.jpg,people,"[2, 2, 2, 2, 2]",1
78,3501176681.jpg,nature,"[2, 4, 4, 2, 3]",2
79,4132663175.jpg,urban,"[3, 3, 3, 3, 3]",2
80,5431050474.jpg,people,"[3, 3, 3, 4, 3]",2
81,3929646644.jpg,nature,"[4, 3, 4, 4, 3]",3
82,5938019595.jpg,animals,"[4, 3, 4, 4, 4]",3
83,147950641.jpg,animals,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",2
84,6566530921.jpg,people,"[4, 3, 3, 3, 3]",2
85,5916875840.jpg,people,"[4, 4, 4, 4, 3]",3
86,3375627860.jpg,urban,"[3, 3, 3, 4, 3]",2
87,6163752068.jpg,animals,"[4, 3, 4, 4, 4]",3
88,4567260728.jpg,urban,"[3, 3, 3, 3, 3]",2
89,5427588654.jpg,urban,"[4, 3, 3, 3, 3]",2
90,5292683061.jpg,urban,"[3, 4, 4, 3, 3]",2
91,4022933540.jpg,nature,"[3, 3, 3, 3, 3]",2
92,22412729.jpg,people,"[3, 4, 3, 4, 5]",3
93,7837306738.jpg,animals,"[4, 4, 4, 4, 4]",3
94,7920906350.jpg,nature,"[4, 3, 4, 4, 4]",3
95,3935745762.jpg,people,"[4, 4, 4, 3, 3]",3
96,6145277879.jpg,animals,"[4, 3, 4, 4, 4, 4, 3, 4, 5, 5]",3
97,5299475856.jpg,nature,"[3, 3, 3, 3, 3]",2
98,4955360193.jpg,animals,"[4, 3, 4, 4, 3, 3, 3, 3, 4, 4]",3
99,3708657552.jpg,nature,"[5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 5, 5, 4, 4, 4]",3
100,6101039949.jpg,urban,"[3, 4, 3, 3, 3]",2
101,3206913459.jpg,people,"[4, 4, 5, 5, 4]",3
102,270891582.jpg,nature,"[3, 4, 4, 4, 3, 3, 3, 3, 3, 3]",2
103,3968570948.jpg,nature,"[3, 4, 4, 3, 4, 4, 4, 4, 3, 3]",3
104,2695574268.jpg,nature,"[3, 4, 4, 3, 4]",3
105,8501548403.jpg,people,"[4, 4, 3, 4, 4]",3
106,7549861774.jpg,urban,"[3, 2, 2, 3, 2]",1
107,2316515687.jpg,nature,"[4, 4, 3, 4, 4]",3
108,3685998412.jpg,animals,"[4, 5, 4, 4, 5, 5]",3
109,6976747066.jpg,urban,"[4, 4, 4, 3, 3]",3
110,5786562473.jpg,urban,"[4, 3, 4, 4, 3, 3]",3
111,5503230420.jpg,people,"[3, 3, 3, 3, 4]",2
112,7183124013.jpg,urban,"[4, 3, 3, 4, 3]",2
113,6086549325.jpg,people,"[4, 4, 4, 3, 3]",3
114,3597245880.jpg,people,"[3, 3, 3, 3, 3]",2
115,5322735081.jpg,urban,"[5, 4, 5, 5, 4, 4, 4]",3
116,4197903211.jpg,nature,"[3, 3, 3, 3, 3]",2
117,8123471319.jpg,nature,"[5, 3, 5, 3, 3, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4]",3
118,5949188051.jpg,urban,"[2, 2, 2, 2, 2]",1
119,5436178945.jpg,nature,"[4, 4, 3, 3, 4]",3
120,5963782255.jpg,animals,"[4, 4, 5, 4, 4, 4, 4, 3, 4, 5]",3
121,5554585920.jpg,animals,"[5, 5, 5, 4, 4]",4
122,5351940424.jpg,animals,"[3, 4, 4, 4, 5]",3
123,3676048099.jpg,animals,"[4, 4, 4, 3, 3]",3
124,7235632264.jpg,people,"[2, 2, 2, 2, 2]",1
125,5351229928.jpg,people,"[3, 3, 3, 3, 3]",2
126,4274272461.jpg,urban,"[3, 4, 4, 3, 4]",3
127,494059057.jpg,people,"[3, 2, 3, 4, 4]",2
128,6903422852.jpg,nature,"[3, 3, 3, 4, 4]",2
129,2908750431.jpg,urban,"[3, 3, 3, 3, 4]",2
130,1147029586.jpg,nature,"[4, 4, 2, 3, 3]",2
131,126509990.jpg,animals,"[3, 3, 3, 2, 3, 3]",2
132,3415154223.jpg,animals,"[4, 3, 3, 3, 3]",2
133,4463278677.jpg,urban,"[4, 2, 3, 3, 4, 3]",2
134,8026712898.jpg,nature,"[4, 3, 4, 3, 3]",2
135,3189771450.jpg,animals,"[3, 4, 3, 3, 3, 3, 3, 3, 3, 4]",2
136,5969791519.jpg,urban,"[3, 3, 3, 3, 3]",2
137,3579996242.jpg,animals,"[3, 3, 3, 3, 4]",2
138,5287988668.jpg,urban,"[2, 3, 4, 3, 3]",2
139,4548759929.jpg,animals,"[4, 3, 4, 3, 3]",2
140,6256050082.jpg,animals,"[4, 3, 3, 4, 4]",3
141,35769005.jpg,nature,"[3, 3, 3, 4, 3, 3, 3, 4, 4, 3]",2
142,6189841456.jpg,animals,"[4, 3, 4, 3, 3]",2
143,7340411.jpg,animals,"[4, 4, 3, 3, 3, 3, 3, 4, 3, 3]",2
144,4943609306.jpg,nature,"[3, 3, 4, 3, 4]",2
145,8155322757.jpg,nature,"[3, 3, 3, 2, 3]",2
146,2801071835.jpg,nature,"[2, 3, 3, 3, 3]",2
147,5024072585.jpg,animals,"[4, 4, 4, 4, 3]",3
148,3367215684.jpg,nature,"[3, 3, 3, 3, 3]",2
149,6039304438.jpg,people,"[3, 3, 3, 3, 3]",2
150,7187615943.jpg,urban,"[3, 3, 3, 4, 3, 3, 4, 3, 3, 3]",2
151,3287881998.jpg,nature,"[5, 3, 4, 4, 3]",3
152,7932891184.jpg,nature,"[3, 3, 3, 2, 2]",2
153,6392658271.jpg,people,"[3, 4, 4, 4, 3]",3
154,8181129093.jpg,people,"[5, 3, 4, 4, 3]",3
155,4673958530.jpg,animals,"[4, 4, 4, 4, 4]",3
156,3754811880.jpg,nature,"[3, 2, 3, 2, 3]",2
157,2384478345.jpg,animals,"[4, 4, 4, 4, 4]",3
158,6934008906.jpg,people,"[5, 3, 4, 4, 3]",3
159,7473769978.jpg,urban,"[3, 3, 2, 5, 3, 4]",2
160,8086562485.jpg,people,"[4, 4, 3, 4, 4]",3
161,6811881921.jpg,urban,"[4, 4, 5, 5, 5, 5, 4, 5, 4, 4, 4]",3
162,515889466.jpg,nature,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1
163,2127013985.jpg,nature,"[3, 4, 3, 4, 4]",3
164,5481480425.jpg,people,"[2, 2, 2, 2, 3]",1
165,6232017429.jpg,animals,"[3, 4, 5, 3, 4, 4, 4, 3, 3, 4]",3
166,351176568.jpg,urban,"[4, 3, 4, 3, 3]",2
167,6927472693.jpg,nature,"[4, 2, 3, 3, 3]",2
168,7117723993.jpg,people,"[3, 3, 3, 3, 2]",2
169,6337663345.jpg,nature,"[3, 3, 3, 3, 3]",2
170,4688790209.jpg,nature,"[2, 2, 2, 2, 3]",1
171,4961821549.jpg,nature,"[3, 3, 2, 3, 3]",2
172,4969957439.jpg,nature,"[3, 3, 3, 3, 3]",2
173,5381687922.jpg,nature,"[3, 3, 4, 3, 4]",2
174,7062991333.jpg,nature,"[3, 3, 3, 3, 3]",2
175,4085733067.jpg,nature,"[4, 4, 3, 3, 3]",2
176,7746612288.jpg,animals,"[3, 2, 3, 2, 3, 3]",2
177,7563129630.jpg,people,"[4, 4, 4, 3, 4]",3
178,3751402986.jpg,urban,"[3, 4, 3, 3, 5, 2, 3, 3, 3, 4]",2
179,39281386.jpg,nature,"[3, 3, 3, 2, 4, 3, 3, 3, 3, 3]",2
180,7969277370.jpg,urban,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
181,4970681991.jpg,nature,"[3, 2, 2, 2, 3]",1
182,2722353070.jpg,people,"[4, 4, 4, 3, 4]",3
183,3478318349.jpg,people,"[3, 4, 4, 4, 4]",3
184,2548545238.jpg,nature,"[4, 3, 5, 3, 3]",3
185,8483917052.jpg,people,"[3, 3, 3, 4, 5]",3
186,6142427579.jpg,nature,"[3, 3, 3, 3, 3]",2
187,3964851604.jpg,urban,"[3, 3, 3, 2, 3]",2
188,5057927639.jpg,urban,"[3, 3, 3, 3, 3]",2
189,4610893925.jpg,people,"[3, 3, 4, 3, 4]",2
190,5208532605.jpg,urban,"[2, 4, 5, 4, 4, 1, 1, 5, 5, 4]",3
191,8069925295.jpg,people,"[4, 3, 4, 4, 4]",3
192,6382679681.jpg,nature,"[3, 3, 3, 3, 3]",2
193,10445544.jpg,urban,"[3, 3, 3, 3, 3, 4, 3, 3, 3, 4]",2
194,6783228083.jpg,people,"[3, 3, 3, 4, 4]",2
195,5049256137.jpg,urban,"[4, 5, 5, 4, 4]",3
196,6311965305.jpg,nature,"[3, 4, 3, 3, 3]",2
197,8063373614.jpg,urban,"[3, 4, 2, 3, 3]",2
198,6982302493.jpg,people,"[4, 3, 3, 4, 3]",2
199,5871384792.jpg,animals,"[3, 2, 2, 2, 2]",1
200,4142836106.jpg,animals,"[4, 3, 5, 4, 4]",3
201,7250975178.jpg,people,"[2, 2, 2, 1, 3]",1
202,141809526.jpg,urban,"[3, 3, 3, 3, 3]",2
203,5970969019.jpg,urban,"[3, 3, 3, 3, 3]",2
204,199745615.jpg,urban,"[4, 3, 3, 4, 3]",2
205,3777417916.jpg,animals,"[4, 4, 5, 4, 4]",3
206,2654873676.jpg,urban,"[4, 3, 3, 3, 4]",2
207,1907944597.jpg,animals,"[5, 5, 4, 4, 3]",3
208,7316099766.jpg,urban,"[3, 3, 3, 3, 3]",2
209,7815640680.jpg,animals,"[3, 3, 3, 3, 3]",2
210,63529070.jpg,urban,"[3, 3, 2, 3, 2, 2]",1
211,6943235775.jpg,nature,"[4, 3, 3, 4, 3]",2
212,2390510954.jpg,animals,"[3, 3, 3, 4, 3, 3]",2
213,5705443946.jpg,people,"[4, 3, 3, 3, 3]",2
214,1361530486.jpg,nature,"[3, 3, 3, 3, 4]",2
215,3012057424.jpg,animals,"[3, 4, 3, 3, 3]",2
216,6685235701.jpg,urban,"[3, 4, 3, 2, 3]",2
217,3447472566.jpg,nature,"[3, 3, 3, 3, 3]",2
218,4315117023.jpg,nature,"[4, 3, 5, 5, 5]",3
219,4196240547.jpg,urban,"[4, 2, 3, 4, 3]",2
220,77204586.jpg,nature,"[3, 3, 3, 3, 3]",2
221,537754895.jpg,animals,"[3, 3, 3, 3, 4]",2
222,8432019276.jpg,nature,"[4, 3, 2, 4, 4]",2
223,5219956034.jpg,urban,"[3, 3, 3, 3, 2]",2
224,15975916.jpg,people,"[2, 2, 3, 3, 3, 3, 2, 3, 2, 2]",1
225,7829551238.jpg,nature,"[3, 4, 3, 3, 3]",2
226,6887737714.jpg,animals,"[4, 3, 3, 4, 3]",2
227,4146974494.jpg,urban,"[4, 5, 3, 5, 4]",3
228,5921182860.jpg,nature,"[4, 3, 4, 3, 3]",2
229,4656707004.jpg,people,"[3, 4, 3, 4, 4]",3
230,4272681463.jpg,nature,"[3, 4, 4, 3, 3]",2
231,3586182951.jpg,animals,"[4, 3, 4, 4, 5]",3
232,4215256817.jpg,urban,"[3, 3, 3, 3, 3]",2
233,2615648289.jpg,urban,"[3, 4, 4, 4, 4]",3
234,4704138203.jpg,animals,"[4, 4, 5, 4, 3]",3
235,7525640086.jpg,urban,"[3, 2, 3, 4, 4, 4]",2
236,2646584912.jpg,nature,"[3, 4, 4, 3, 3, 4, 4, 5, 4, 3]",3
237,4891632313.jpg,animals,"[3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3]",2
238,2323561760.jpg,people,"[4, 4, 4, 4, 3]",3
239,3590886325.jpg,animals,"[5, 5, 4, 3, 5]",3
240,54890460.jpg,urban,"[2, 3, 3, 3, 3, 3]",2
241,4081036390.jpg,nature,"[3, 4, 3, 5, 3]",3
242,5922421521.jpg,people,"[3, 3, 3, 3, 3]",2
243,7083520869.jpg,nature,"[3, 3, 3, 2, 3]",2
244,1118039845.jpg,animals,"[3, 3, 3, 4, 3]",2
245,4993073210.jpg,people,"[3, 3, 3, 4, 3]",2
246,63098401.jpg,nature,"[3, 4, 4, 3, 3]",2
247,3148616588.jpg,urban,"[3, 3, 3, 4, 4]",2
248,2644522266.jpg,animals,"[3, 3, 3, 4, 5]",3
249,6039796653.jpg,animals,"[3, 3, 3, 2, 4]",2
250,2705638602.jpg,animals,"[4, 4, 3, 5, 5]",3
251,4301015022.jpg,nature,"[3, 4, 3, 3, 3]",2
252,8430862389.jpg,animals,"[4, 5, 5, 5, 5]",4
253,7477047150.jpg,people,"[4, 4, 4, 4, 5]",3
254,7869666412.jpg,people,"[4, 3, 3, 3, 4]",2
255,5527478515.jpg,urban,"[4, 4, 5, 4, 3]",3
256,183045168.jpg,nature,"[3, 4, 3, 3, 4]",2
257,6731190303.jpg,urban,"[3, 3, 4, 3, 3]",2
258,5802331431.jpg,nature,"[2, 5, 3, 3, 3]",2
259,6834104888.jpg,nature,"[3, 3, 3, 2, 3, 3]",2
260,7862381272.jpg,nature,"[3, 3, 3, 3, 3]",2
261,3015795490.jpg,urban,"[3, 3, 3, 3, 3]",2
262,3019939782.jpg,nature,"[3, 3, 3, 3, 4, 3, 3, 4, 3, 4]",2
263,5462226045.jpg,urban,"[4, 3, 4, 5, 4, 4, 4, 3, 4, 4]",3
264,5352883333.jpg,urban,"[5, 4, 4, 5, 3, 4, 4, 4, 3, 4]",3
265,7390248942.jpg,urban,"[3, 4, 3, 3, 3]",2
266,8197696184.jpg,animals,"[4, 3, 5, 3, 4, 4, 4]",3
267,2200581990.jpg,urban,"[4, 3, 3, 3, 3]",2
268,343167590.jpg,nature,"[5, 5, 5, 3, 5, 1, 5, 5, 5, 1]",3
269,7682333686.jpg,nature,"[3, 2, 3, 3, 2]",2
270,2258547835.jpg,nature,"[3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3]",2
271,7000597748.jpg,urban,"[3, 3, 3, 4, 4]",2
272,4369464384.jpg,animals,"[3, 3, 3, 3, 3, 3]",2
273,6821789513.jpg,animals,"[5, 5, 5, 5, 5]",4
274,96673752.jpg,animals,"[3, 4, 5, 2, 3, 4]",3
275,6656759343.jpg,urban,"[2, 3, 3, 4, 4]",2
276,3097108745.jpg,nature,"[3, 3, 2, 3, 5, 2, 2, 2, 4, 4]",2
277,5487847236.jpg,urban,"[3, 4, 4, 5, 4, 4, 3, 3, 3, 3, 3]",3
278,4792421986.jpg,urban,"[4, 4, 4, 4, 3]",3
279,3353558421.jpg,nature,"[3, 3, 3, 4, 3]",2
280,2089241032.jpg,urban,"[4, 4, 5, 4, 4]",3
281,513537698.jpg,animals,"[4, 4, 4, 4, 4]",3
282,7053182355.jpg,animals,"[4, 4, 4, 4, 4]",3
283,8326144391.jpg,nature,"[4, 4, 5, 3, 5, 5, 4, 3, 5, 4]",3
284,5146853003.jpg,animals,"[4, 5, 4, 4, 4]",3
285,5972327106.jpg,animals,"[3, 3, 4, 2, 4]",2
286,4821511245.jpg,animals,"[4, 5, 4, 4, 3]",3
287,4125645478.jpg,people,"[2, 2, 3, 2, 2]",1
288,6772983966.jpg,urban,"[3, 3, 3, 4, 3, 3]",2
289,8082772233.jpg,animals,"[4, 4, 4, 3, 4]",3
290,4908458465.jpg,urban,"[4, 3, 4, 5, 5]",3
291,4983323227.jpg,urban,"[3, 3, 3, 3, 4]",2
292,1253295088.jpg,animals,"[2, 3, 3, 2, 2, 2]",1
293,3719550174.jpg,people,"[3, 4, 4, 4, 4, 4, 4, 4, 4, 4]",3
294,5387244665.jpg,nature,"[3, 3, 3, 3, 3]",2
295,4943136749.jpg,urban,"[3, 3, 3, 3, 3]",2
296,2641575923.jpg,animals,"[3, 3, 3, 3, 3]",2
297,6062625947.jpg,animals,"[3, 4, 4, 4, 2, 3, 4, 4, 3, 3]",2
298,319540952.jpg,animals,"[3, 3, 3, 3, 3]",2
299,7866673858.jpg,animals,"[3, 3, 3, 3, 3, 3, 3]",2
300,5341562695.jpg,people,"[3, 4, 4, 4, 4, 4, 4, 4, 5, 4]",3
301,8225358927.jpg,nature,"[3, 3, 3, 3, 3]",2
302,3100177074.jpg,nature,"[3, 4, 3, 3, 3]",2
303,2250263137.jpg,people,"[2, 2, 2, 2, 2]",1
304,4574299329.jpg,animals,"[3, 3, 3, 4, 2, 2]",2
305,2478396682.jpg,nature,"[4, 5, 4, 3, 3]",3
306,5656445995.jpg,animals,"[4, 5, 4, 5, 4]",3
307,5483865380.jpg,animals,"[3, 3, 3, 3, 3]",2
308,8272709830.jpg,urban,"[4, 3, 4, 3, 3, 5, 3, 4, 3, 4]",3
309,4070979574.jpg,nature,"[2, 3, 2, 2, 3]",1
310,3468717396.jpg,animals,"[5, 4, 4, 4, 3]",3
311,954037067.jpg,nature,"[3, 3, 3, 3, 3]",2
312,4277689378.jpg,animals,"[4, 3, 5, 4, 4, 5, 4]",3
313,5689089914.jpg,nature,"[3, 3, 3, 3, 3]",2
314,7307460534.jpg,people,"[4, 4, 4, 4, 4]",3
315,7346813900.jpg,people,"[3, 3, 3, 3, 4]",2
316,6999960716.jpg,nature,"[3, 3, 3, 5, 4, 5, 3, 4, 3, 4]",3
317,5450601450.jpg,urban,"[5, 3, 2, 3, 4, 3, 4, 4, 3, 2]",2
318,5188350865.jpg,nature,"[3, 3, 3, 3, 3]",2
319,6000273791.jpg,urban,"[4, 4, 5, 4, 4]",3
320,4539578780.jpg,animals,"[3, 4, 4, 4, 4]",3
321,34817031.jpg,urban,"[3, 4, 4, 4, 3]",3
322,2695061798.jpg,people,"[2, 3, 3, 3, 3]",2
323,3334945197.jpg,nature,"[3, 4, 5, 2, 4]",3
324,6273190854.jpg,people,"[3, 3, 3, 3, 3]",2
325,4808353089.jpg,animals,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
326,6388453479.jpg,animals,"[3, 3, 3, 3, 3]",2
327,8037238470.jpg,nature,"[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2
328,4014072416.jpg,nature,"[3, 3, 3, 3, 4]",2
329,4277075066.jpg,urban,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]",4
330,4648326084.jpg,nature,"[2, 3, 2, 2, 3]",1
331,1429656242.jpg,people,"[4, 4, 3, 4, 4]",3
332,5048717114.jpg,people,"[3, 3, 4, 3, 4]",2
333,6071619574.jpg,people,"[5, 5, 5, 5, 5]",4
334,6864451482.jpg,animals,"[3, 3, 2, 3, 3]",2
335,8346545798.jpg,animals,"[3, 4, 3, 4, 3, 4, 3]",2
336,7567719470.jpg,nature,"[2, 4, 2, 1, 2, 5, 4, 4, 1, 2]",2
337,3781362117.jpg,urban,"[3, 3, 4, 3, 1, 4]",2
338,8244609826.jpg,nature,"[2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 4, 2, 2]",1
339,7673337672.jpg,animals,"[4, 4, 5, 4, 3, 5, 4, 4, 4, 4, 4]",3
340,4000463997.jpg,nature,"[3, 3, 3, 4, 4, 4, 4, 4, 3, 3]",3
341,144072834.jpg,animals,"[3, 3, 3, 3, 3]",2
342,2309916202.jpg,nature,"[3, 4, 3, 3, 3]",2
343,6490390583.jpg,urban,"[3, 2, 3, 3, 3]",2
344,5639076986.jpg,nature,"[3, 3, 4, 3, 4]",2
345,6307476495.jpg,urban,"[4, 3, 3, 3, 3]",2
346,4234929054.jpg,nature,"[4, 3, 3, 4, 5, 4]",3
347,494059827.jpg,people,"[4, 4, 3, 4, 4]",3
348,2413057204.jpg,animals,"[5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5]",4
349,112909824.jpg,nature,"[3, 3, 3, 3, 4, 4, 3, 4, 3, 2]",2
350,8469903388.jpg,people,"[2, 3, 3, 3, 4]",2
351,4595264050.jpg,people,"[4, 4, 4, 3, 5]",3
352,5112204010.jpg,people,"[5, 4, 5, 4, 4]",3
353,1805615841.jpg,nature,"[3, 3, 3, 4, 3]",2
354,7388528078.jpg,nature,"[4, 3, 3, 4, 3]",2
355,434079258.jpg,animals,"[2, 3, 3, 3, 2]",2
356,6171927833.jpg,people,"[4, 3, 3, 4, 3]",2
357,2411953130.jpg,people,"[3, 3, 3, 3, 3]",2
358,4525271413.jpg,nature,"[3, 3, 3, 3, 2]",2
359,5786223890.jpg,nature,"[3, 2, 2, 2, 2]",1
360,2707475985.jpg,nature,"[3, 3, 3, 3, 3]",2
361,6474316955.jpg,urban,"[3, 3, 3, 3, 3]",2
362,4073549168.jpg,nature,"[3, 3, 3, 3, 3]",2
363,6209454208.jpg,animals,"[4, 4, 5, 4, 5]",3
364,3052721125.jpg,animals,"[3, 3, 3, 4, 3]",2
365,2514788818.jpg,people,"[3, 3, 3, 2, 2]",2
366,7840287202.jpg,nature,"[3, 3, 3, 3, 3]",2
367,7877157342.jpg,nature,"[3, 4, 4, 4, 4]",3
368,4141351368.jpg,animals,"[3, 3, 3, 3, 3, 3]",2
369,46822616.jpg,nature,"[3, 3, 4, 3, 2]",2
370,443052074.jpg,nature,"[3, 3, 3, 3, 3]",2
371,8030695595.jpg,animals,"[3, 4, 3, 3, 3]",2
372,8474269749.jpg,nature,"[2, 2, 2, 3, 2]",1
373,3905510590.jpg,nature,"[3, 3, 3, 3, 4]",2
374,7384335414.jpg,nature,"[3, 4, 4, 2, 2]",2
375,7863857580.jpg,urban,"[4, 5, 4, 4, 3, 4]",3
376,5377352222.jpg,people,"[2, 3, 3, 2, 2]",1
377,2840619443.jpg,nature,"[2, 4, 4, 4, 4]",3
378,5112350892.jpg,people,"[3, 3, 3, 4, 4]",2
379,4978287129.jpg,people,"[3, 3, 3, 3, 2]",2
380,5452431614.jpg,urban,"[3, 3, 3, 3, 3]",2
381,1188311124.jpg,urban,"[3, 3, 3, 3, 2, 2, 3]",2
382,65227810.jpg,people,"[3, 3, 2, 3, 3]",2
383,4161630490.jpg,nature,"[3, 3, 3, 3, 3]",2
384,2526088617.jpg,nature,"[3, 3, 4, 3, 3]",2
385,4248006213.jpg,animals,"[2, 2, 2, 3, 2, 2, 4, 3, 3, 3]",2
386,5521708887.jpg,people,"[3, 4, 3, 3, 3]",2
387,4080030563.jpg,animals,"[2, 4, 3, 3, 3]",2
388,3766738708.jpg,nature,"[3, 4, 3, 3, 3]",2
389,7990678419.jpg,animals,"[3, 4, 4, 3, 4, 3, 5]",3
390,162232458.jpg,nature,"[3, 3, 3, 4, 3]",2
391,1897597630.jpg,urban,"[4, 4, 2, 4, 4]",3
392,5404284130.jpg,urban,"[2, 2, 3, 3, 2]",1
393,5069643588.jpg,urban,"[3, 4, 3, 3, 4]",2
394,2575008871.jpg,urban,"[4, 3, 3, 3, 3]",2
